Commune,UrbanLevel
Miles Platting and Newton Heath,1
Moss Side,1
Moston,1
Northenden,1
Old Moat,1
Rusholme,1
Sharston,1
Whalley Range,1
Withington,1
Woodhouse Park,1
Alexandra,1
Chadderton Central,1
Chadderton North,1
Chadderton South,1
Coldhurst,1
Crompton,1
Failsworth East,1
Failsworth West,1
Hollinwood,1
Medlock Vale,1
Royton North,1
Royton South,1
Saddleworth South,1
Saddleworth West and Lees,1
St James',1
St Mary's,1
Shaw,1
Waterhead,1
Werneth,1
Balderstone and Kirkholt,1
Bamford,1
Castleton,1
Central Rochdale,1
East Middleton,1
Healey,1
Hopwood Hall,1
Kingsway,1
Littleborough Lakeside,1
Milkstone and Deeplish,1
Milnrow and Newhey,1
Norden,1
North Heywood,1
North Middleton,1
Smallbridge and Firgrove,1
South Middleton,1
Spotland and Falinge,1
Wardle and West Littleborough,1
West Heywood,1
West Middleton,1
Barton,1
Boothstown and Ellenbrook,1
Broughton,1
Cadishead,1
Claremont,1
Eccles,1
Irlam,1
Irwell Riverside,1
Kersal,1
Langworthy,1
Little Hulton,1
Ordsall,1
Pendlebury,1
Swinton North,1
Swinton South,1
Walkden North,1
Walkden South,1
Weaste and Seedley,1
Winton,1
Worsley,1
Bramhall North,1
Bramhall South,1
Bredbury and Woodley,1
Bredbury Green and Romiley,1
Brinnington and Central,1
Cheadle and Gatley,1
Cheadle Hulme North,1
Cheadle Hulme South,1
Davenport and Cale Green,1
Edgeley and Cheadle Heath,1
Hazel Grove,1
Heald Green,1
Heatons North,1
Heatons South,1
Manor,1
Marple North,1
Marple South,1
Offerton,1
Reddish North,1
Reddish South,1
Stepping Hill,1
Ashton Hurst,1
Ashton St Michael's,1
Ashton Waterloo,1
Audenshaw,1
Denton North East,1
Denton South,1
Denton West,1
Droylsden East,1
Droylsden West,1
Dukinfield,1
Dukinfield Stalybridge,1
Hyde Godley,1
Hyde Newton,1
Hyde Werneth,1
Longdendale,1
Mossley,1
St Peter's,1
Stalybridge North,1
Stalybridge South,1
Altrincham,1
Ashton upon Mersey,1
Bowdon,1
Broadheath,1
Brooklands,1
Bucklow-St Martins,1
Clifford,1
Davyhulme East,1
Davyhulme West,1
Flixton,1
Gorse Hill,1
Hale Barns,1
Hale Central,1
Longford,1
Priory,1
St Mary's,1
Sale Moor,1
Stretford,1
Timperley,1
Urmston,1
Village,1
Abram,1
Ashton,1
Aspull New Springs Whelley,1
Astley Mosley Common,1
Atherleigh,1
Atherton,1
Bryn,1
Douglas,1
Golborne and Lowton West,1
Hindley,1
Hindley Green,1
Ince,1
Leigh East,1
Leigh South,1
Leigh West,1
Lowton East,1
Orrell,1
Pemberton,1
Shevington with Lower Ground,1
Standish with Langtree,1
Tyldesley,1
Wigan Central,1
Wigan West,1
Winstanley,1
Worsley Mesnes,1
Cherryfield,1
Halewood North,1
Halewood South,1
Halewood West,1
Kirkby Central,1
Longview,1
Northwood,1
Page Moss,1
Park,1
Prescot East,1
Prescot West,1
Roby,1
St Bartholomews,1
St Gabriels,1
St Michaels,1
Shevington,1
Stockbridge,1
Swanside,1
Whiston North,1
Whiston South,1
Whitefield,1
Allerton and Hunts Cross,1
Anfield,1
Belle Vale,1
Central,1
Childwall,1
Church,1
Clubmoor,1
County,1
Cressington,1
Croxteth,1
Everton,1
Fazakerley,1
Greenbank,1
Kensington and Fairfield,1
Kirkdale,1
Knotty Ash,1
Mossley Hill,1
Norris Green,1
Old Swan,1
Picton,1
Princes Park,1
Riverside,1
St Michael's,1
Speke-Garston,1
Tuebrook and Stoneycroft,1
Warbreck,1
Wavertree,1
West Derby,1
Woolton,1
Yew Tree,1
Blackbrook,1
Bold,1
Earlestown,1
Eccleston,1
Haydock,1
Moss Bank,1
Newton,1
Parr,1
Rainhill,1
Sutton,1
Thatto Heath,1
Town Centre,1
West Park,1
Windle,1
Blundellsands,1
Church,1
Derby,1
Ford,1
Linacre,1
Litherland,1
Manor,1
Molyneux,1
Netherton and Orrell,1
Park,1
St Oswald,1
Sudell,1
Victoria,1
Bebington,1
Bidston and St James,1
Birkenhead and Tranmere,1
Bromborough,1
Clatterbridge,1
Claughton,1
Eastham,1
"Greasby, Frankby and Irby",1
Heswall,1
Hoylake and Meols,1
Leasowe and Moreton East,1
Liscard,1
Moreton West and Saughall Massie,1
New Brighton,1
Oxton,1
Pensby and Thingwall,1
Prenton,1
Rock Ferry,1
Seacombe,1
Upton,1
Wallasey,1
West Kirby and Thurstaston,1
Birtley,1
Blaydon,1
Bridges,1
Chowdene,1
Crawcrook and Greenside,1
Deckham,1
Dunston and Teams,1
Dunston Hill and Whickham East,1
Felling,1
High Fell,1
Lamesley,1
Lobley Hill and Bensham,1
Low Fell,1
Pelaw and Heworth,1
"Ryton, Crookhill and Stella",1
Saltwell,1
Wardley and Leam Lane,1
Whickham North,1
Whickham South and Sunniside,1
Windy Nook and Whitehills,1
Winlaton and High Spen,1
Benwell and Scotswood,1
Blakelaw,1
Byker,1
Castle,1
Dene,1
Denton,1
East Gosforth,1
Elswick,1
Fawdon,1
Fenham,1
Kenton,1
Lemington,1
Newburn,1
North Heaton,1
North Jesmond,1
Ouseburn,1
Parklands,1
South Heaton,1
South Jesmond,1
Walker,1
Walkergate,1
Westerhope,1
Westgate,1
West Gosforth,1
Wingrove,1
Woolsington,1
Battle Hill,1
Benton,1
Camperdown,1
Chirton,1
Collingwood,1
Cullercoats,1
Howdon,1
Killingworth,1
Longbenton,1
Monkseaton North,1
Monkseaton South,1
Northumberland,1
Preston,1
Riverside,1
St Mary's,1
Tynemouth,1
Valley,1
Wallsend,1
Whitley Bay,1
Beacon and Bents,1
Bede,1
Biddick and All Saints,1
Boldon Colliery,1
Cleadon and East Boldon,1
Cleadon Park,1
Fellgate and Hedworth,1
Harton,1
Hebburn North,1
Esh,2
Hebburn South,1
Horsley Hill,1
Monkton,1
Primrose,1
Simonside and Rekendyke,1
Westoe,1
West Park,1
Whiteleas,1
Barnes,1
Castle,1
Copt Hill,1
Doxford,1
Fulwell,1
Hendon,1
Hetton,1
Houghton,1
Millfield,1
Pallion,1
Redhill,1
Ryhope,1
St Anne's,1
St Chad's,1
St Michael's,1
St Peter's,1
Sandhill,1
Shiney Row,1
Silksworth,1
Southwick,1
Washington Central,1
Washington East,1
Washington North,1
Washington South,1
Washington West,1
Acocks Green,1
Aston,1
Bartley Green,1
Billesley,1
Bordesley Green,1
Bournville,1
Brandwood,1
Edgbaston,1
Erdington,1
Hall Green,1
Handsworth Wood,1
Harborne,1
Hodge Hill,1
Kings Norton,1
Kingstanding,1
Ladywood,1
Longbridge,1
Lozells and East Handsworth,1
Moseley and Kings Heath,1
Nechells,1
Northfield,1
Oscott,1
Perry Barr,1
Quinton,1
Selly Oak,1
Shard End,1
Sheldon,1
Soho,1
South Yardley,1
Sparkbrook,1
Springfield,1
Stechford and Yardley North,1
Stockland Green,1
Sutton Four Oaks,1
Sutton New Hall,1
Sutton Trinity,1
Sutton Vesey,1
Tyburn,1
Washwood Heath,1
Weoley,1
Amblecote,1
Belle Vale,1
Brierley Hill,1
Brockmoor and Pensnett,1
Castle and Priory,1
Coseley East,1
Cradley and Wollescote,1
Gornal,1
Halesowen North,1
Halesowen South,1
Hayley Green and Cradley South,1
Kingswinford North and Wall Heath,1
Kingswinford South,1
Lye and Stourbridge North,1
"Netherton, Woodside and St Andrews",1
Norton,1
Pedmore and Stourbridge East,1
Quarry Bank and Dudley Wood,1
St James's,1
St Thomas's,1
Sedgley,1
Upper Gornal and Woodsetton,1
Wollaston and Stourbridge Town,1
Wordsley,1
Abbey,1
Blackheath,1
Bristnall,1
Charlemont with Grove Vale,1
Cradley Heath and Old Hill,1
Friar Park,1
Great Barr with Yew Tree,1
Great Bridge,1
Greets Green and Lyng,1
Hateley Heath,1
Langley,1
Newton,1
Old Warley,1
Oldbury,1
Princes End,1
Rowley,1
St Pauls,1
Smethwick,1
Soho and Victoria,1
Tipton Green,1
Tividale,1
Wednesbury North,1
Wednesbury South,1
West Bromwich Central,1
Bickenhill,1
Blythe,1
Castle Bromwich,1
Chelmsley Wood,1
Dorridge and Hockley Heath,1
Elmdon,1
Kingshurst and Fordbridge,1
Knowle,1
Lyndon,1
Olton,1
St Alphege,1
Shirley East,1
Shirley South,1
Shirley West,1
Silhill,1
Smith's Wood,1
Aldridge Central and South,1
Aldridge North and Walsall Wood,1
Bentley and Darlaston North,1
Birchills Leamore,1
Blakenall,1
Bloxwich East,1
Bloxwich West,1
Brownhills,1
Darlaston South,1
Paddock,1
Palfrey,1
Pelsall,1
Pheasey Park Farm,1
Pleck,1
Rushall-Shelfield,1
St Matthew's,1
Short Heath,1
Streetly,1
Willenhall North,1
Willenhall South,1
Bilston East,1
Bilston North,1
Blakenhall,1
Bushbury North,1
Bushbury South and Low Hill,1
East Park,1
Ettingshall,1
Fallings Park,1
Graiseley,1
Heath Town,1
Merry Hill,1
Oxley,1
Park,1
Penn,1
St Peter's,1
Spring Vale,1
Tettenhall Regis,1
Tettenhall Wightwick,1
Wednesfield North,1
Wednesfield South,1
Baildon,1
Bingley,1
Bolton and Undercliffe,1
Bowling and Barkerend,1
Bradford Moor,1
City,1
Clayton and Fairweather Green,1
Eccleshill,1
Great Horton,1
Heaton,1
Idle and Thackley,1
Little Horton,1
Manningham,1
Queensbury,1
Royds,1
Shipley,1
Thornton and Allerton,1
Toller,1
Tong,1
Wharfedale,1
Wibsey,1
Windhill and Wrose,1
Wyke,1
Brighouse,1
Elland,1
Greetland and Stainland,1
Hipperholme and Lightcliffe,1
Illingworth and Mixenden,1
Northowram and Shelf,1
Ovenden,1
Park,1
Rastrick,1
Skircoat,1
Sowerby Bridge,1
Town,1
Warley,1
Ashbrow,1
Batley East,1
Batley West,1
Birstall and Birkenshaw,1
Cleckheaton,1
Dalton,1
Dewsbury East,1
Dewsbury South,1
Dewsbury West,1
Golcar,1
Greenhead,1
Heckmondwike,1
Holme Valley South,1
Lindley,1
Liversedge and Gomersal,1
Mirfield,1
Newsome,1
Adel and Wharfedale,1
Alwoodley,1
Ardsley and Robin Hood,1
Armley,1
Beeston and Holbeck,1
Bramley and Stanningley,1
Burmantofts and Richmond Hill,1
Calverley and Farsley,1
Chapel Allerton,1
City and Hunslet,1
Cross Gates and Whinmoor,1
Farnley and Wortley,1
Gipton and Harehills,1
Guiseley and Rawdon,1
Headingley,1
Horsforth,1
Hyde Park and Woodhouse,1
Killingbeck and Seacroft,1
Kirkstall,1
Middleton Park,1
Moortown,1
Morley North,1
Morley South,1
Otley and Yeadon,1
Pudsey,1
Rothwell,1
Roundhay,1
Temple Newsam,1
Weetwood,1
Horbury and South Ossett,1
Ossett,1
Stanley and Outwood East,1
Wakefield East,1
Wakefield North,1
Wakefield Rural,1
Wakefield South,1
Wakefield West,1
Wrenthorpe and Outwood West,1
Belhus,1
Chadwell St Mary,1
Chafford and North Stifford,1
Grays Riverside,1
Grays Thurrock,1
Little Thurrock Blackshots,1
Little Thurrock Rectory,1
Ockendon,1
South Chafford,1
Stifford Clays,1
Tilbury Riverside and Thurrock Park,1
Tilbury St Chads,1
West Thurrock and South Stifford,1
Dinting,1
Gamesley,1
Hadfield North,1
Hadfield South,1
Howard Town,1
Old Glossop,1
Padfield,1
Simmondley,1
Tintwistle,1
Whitfield,1
Buckhurst Hill East,1
Buckhurst Hill West,1
Chigwell Row,1
Chigwell Village,1
Grange Hill,1
Loughton Alderton,1
Loughton Broadway,1
Loughton Fairmead,1
Loughton Forest,1
Loughton Roding,1
Loughton St John's,1
Loughton St Mary's,1
Waltham Abbey Honey Lane,1
Waltham Abbey North East,1
Waltham Abbey Paternoster,1
Waltham Abbey South West,1
Broxbourne,1
Bury Green,1
Cheshunt Central,1
Cheshunt North,1
Flamstead End,1
Goffs Oak,1
Hoddesdon North,1
Hoddesdon Town,1
Rosedale,1
Rye Park,1
Theobalds,1
Waltham Cross,1
Wormley & Turnford,1
Adeyfield East,1
Adeyfield West,1
Apsley and Corner Hall,1
Bennetts End,1
Boxmoor,1
Chaulden and Warners End,1
Gadebridge,1
Grovehill,1
Hemel Hempstead Town,1
Highfield,1
Kings Langley,1
Leverstock Green,1
Nash Mills,1
Woodhall Farm,1
Great Amwell,1
Stanstead Abbots,1
Borehamwood Brookmeadow,1
Borehamwood Cowley Hill,1
Borehamwood Hillside,1
Borehamwood Kenilworth,1
Bushey Heath,1
Bushey North,1
Bushey Park,1
Bushey St James,1
Elstree,1
Abbots Langley,1
Ashridge,1
Bedmond & Primrose Hill,1
Carpenders Park,1
Chorleywood East,1
Croxley Green,1
Croxley Green North,1
Croxley Green South,1
Hayling,1
Langleybury,1
Leavesden,1
Maple Cross & Mill End,1
Moor Park & Eastbury,1
Northwick,1
Oxhey Hall,1
Penn,1
Rickmansworth,1
Rickmansworth West,1
Callowland,1
Central,1
Holywell,1
Leggatts,1
Meriden,1
Nascot,1
Oxhey,1
Park,1
Stanborough,1
Tudor,1
Vicarage,1
Woodside,1
Brent,1
Castle,1
Greenhithe,1
Heath,1
Joyce Green,1
Joydens Wood,1
Littlebrook,1
Newtown,1
Princes,1
Stone,1
Swanscombe,1
Town,1
West Hill,1
Wilmington,1
Central,1
Chalk,1
Coldharbour,1
Northfleet North,1
Northfleet South,1
Painters Ash,1
Pelham,1
Riverside,1
Riverview,1
Singlewell,1
Westcourt,1
Whitehill,1
Woodlands,1
Hextable,1
Swanley Christchurch and Swanley Village,1
Swanley St Mary's,1
Swanley White Oak,1
Ashurst,1
Birch Green,1
Digmoor,1
Moorside,1
Skelmersdale North,1
Skelmersdale South,1
Tanhouse,1
Up Holland,1
Cannock East,1
Cannock North,1
Cannock South,1
Cannock West,1
Hawks Green,1
Heath Hayes East and Wimblebury,1
Hednesford Green Heath,1
Hednesford North,1
Hednesford South,1
Rawnsley,1
All Saints,1
Boney Hay,1
Burntwood Central,1
Chase Terrace,1
Chasetown,1
Hammerwich,1
Highfield,1
Little Aston,1
Summerfield,1
Bilbrook,1
Cheslyn Hay North and Saredon,1
Cheslyn Hay South,1
Codsall North,1
Codsall South,1
Essington,1
Great Wyrley Landywood,1
Great Wyrley Town,1
Huntington and Hatherton,1
Perton Dippons,1
Perton East,1
Perton Lakeside,1
Wombourne North and Lower Penn,1
Wombourne South East,1
Wombourne South West,1
Claygate,1
Esher,1
Hersham North,1
Hersham South,1
Hinchley Wood,1
Long Ditton,1
Molesey East,1
Molesey North,1
Molesey South,1
Oatlands Park,1
St George's Hill,1
Thames Ditton,1
Walton Ambleside,1
Walton Central,1
Walton North,1
Walton South,1
Weston Green,1
Weybridge North,1
Weybridge South,1
Auriol,1
College,1
Court,1
Cuddington,1
Ewell,1
Ewell Court,1
Nonsuch,1
Ruxley,1
Stamford,1
Stoneleigh,1
Town,1
West Ewell,1
Woodcote,1
Ashtead Common,1
Ashtead Park,1
Ashtead Village,1
Bookham North,1
Bookham South,1
Fetcham East,1
Fetcham West,1
Leatherhead North,1
Leatherhead South,1
Banstead Village,1
"Chipstead, Hooley and Woodmansterne",1
Nork,1
Preston,1
Tadworth and Walton,1
Tattenhams,1
Addlestone Bourneside,1
Addlestone North,1
Chertsey Meads,1
Chertsey St Ann's,1
Chertsey South and Row Town,1
Egham Hythe,1
Egham Town,1
Englefield Green East,1
Englefield Green West,1
New Haw,1
Thorpe,1
Woodham,1
Ashford Common,1
Ashford East,1
Ashford North and Stanwell South,1
Ashford Town,1
Halliford and Sunbury West,1
Laleham and Shepperton Green,1
Riverside and Laleham,1
Shepperton Town,1
Staines,1
Staines South,1
Stanwell North,1
Sunbury Common,1
Sunbury East,1
Bisley,1
Chaldon,1
Harestone,1
Portley,1
Queens Park,1
Valley,1
Warlingham East and Chelsham and Farleigh,1
Warlingham West,1
Westway,1
Whyteleafe,1
Byfleet,1
Goldsworth East,1
Goldsworth West,1
Hermitage and Knaphill South,1
Horsell East and Woodham,1
